,Company name,"Gearing (%)
2018",BvD Independence Indicator,"Number of employees
2018","Profit (Loss) before Taxation
th GBP 2018","Tangible Assets
th GBP 2018","Fixed Assets
th GBP 2018"
5989,FANNIN (NI) LIMITED,0.28,D,19,"1,142",570,570
5990,MIDDLETON PAPER COMPANY LIMITED,66.42,D,107,655,"2,459","2,459"
5991,OWEN TAYLOR AND SONS LIMITED,3.43,D,152,464,746,806
5992,CASA COMMUNICATIONS LIMITED,68.23,D,18,"22,286",661,661
5993,"KELLOGG COMPANY OF GREAT BRITAIN,LIMITED",8.22,C,801,"33,939","216,364","1,397,522"
5994,MOTORLINE (KENT) LIMITED,308.88,D,258,466,"2,433","3,306"
5995,INTECHOPEN LIMITED,43.25,D,60,"2,177",37,744
5996,J & R NAYLORS HOLDINGS LIMITED,3.19,B+,39,"5,584","3,233","3,233"
5997,INVERAIRE HOLDINGS LIMITED,26.31,D,76,204,"4,815","4,815"
5998,BETCHTON LIMITED,48.57,A+,7,203,"9,231","11,156"
5999,SOMERDALE INTERNATIONAL LIMITED,424.46,B+,22,483,"1,731","1,731"
6000,DLP SERVICES (NORTHERN) LIMITED,10.18,D,78,101,2,2
6001,BROTHER U.K. LIMITED,45.22,D,191,"3,466",754,"2,134"
6002,JOHN GOOD & SONS LIMITED,38.66,D,312,"1,296","6,982","10,180"
6003,SYNNOVIA LIMITED,68.51,D,592,"2,762","12,444","39,433"
6004,SOUTH AMERICA PROPERTIES LLP,51.02,U,77,"9,758","55,365","68,688"
6005,THE PROGRESSIVE GROUP LIMITED,10.58,D,28,381,911,911
6006,INGRESSO GROUP LIMITED,245.71,D,34,506,62,"1,187"
6007,ASTON LOCK HOTEL LIMITED,0.88,D,31,361,"1,350","1,350"
6008,AB DYNAMICS PLC,0.89,B+,128,"7,947","13,679","14,968"
6009,TGA INDUSTRIES LIMITED,17.98,D,500,"42,413","3,439","305,085"
6010,PW DEFENCE LTD,13.06,D,127,-680,"4,475","5,783"
6011,CIT GROUP LIMITED,18.09,D,19,"1,412",209,"2,522"
6012,EURO CAR PARTS LIMITED,226.52,D,"9,400","53,360","120,579","150,196"
6013,NECTAR GROUP LIMITED,6.84,D,27,"1,275",144,"1,964"
6014,DE EUROPE GROUP HOLDING LTD.,12.76,D,60,-83,113,"31,765"
6015,RENEGADE SPIRITS IRELAND LIMITED,52.24,A+,22,-720,"10,977","10,977"
6016,BOOM CYMRU TV LTD,17.84,D,126,"-2,336",407,"3,388"
6017,HOWARD BROS JOINERY LTD.,58.13,D,75,52,601,751
6018,I CARE (GB) LIMITED,53.49,D,743,477,100,236
6019,FIFE CREAMERY LIMITED,49.55,B+,126,"1,083","3,146","3,706"
6020,JETSTONE (SERVICES) LTD,177.51,D,1,-691,50,"9,590"
6021,FERRIER HOLDINGS LIMITED,66.61,B+,5,428,61,"13,325"
6022,MEDIGOLD HEALTH CONSULTANCY LIMITED,n.a.,B+,n.a.,n.a.,n.a.,n.a.
6023,MOTEL ONE (UK) LIMITED,108.6,D,114,"2,204","3,233","3,233"
6024,ILE HOLDINGS LIMITED,86.45,B+,123,31,"4,492","5,100"
6025,MOBILE MONEY LIMITED,206.44,D,50,247,53,53
6026,POSSUM LIMITED,1.13,D,40,"1,347",182,182
6027,LANGLEY MOTORIST DISCOUNT CENTRE LIMITED,0.74,B+,10,222,25,25
6028,CLIVE HURT (PLANT HIRE) LIMITED,15.09,D,227,"3,970","21,546","21,821"
6029,MHM (HAMMERSMITH) LIMITED,4.14,B+,66,967,89,335
6030,MELBA GROUP LIMITED,60.76,D,157,"1,988","8,616","11,809"
6031,OCTOPUS HEALTHCARE SUB HOLDINGS LTD,52.35,C,53,"4,947",35,"7,893"
6032,LRH CARE HOMES LIMITED,194.21,D,794,"2,631","67,277","72,949"
6033,H.I. LIME STREET LIMITED,81.53,D,89,643,"8,875","8,875"
6034,SCM GROUP (UK) LIMITED,137.56,D,61,"1,166","1,939","1,939"
6035,FCH1 (UK) LIMITED,652.08,D,75,-84,555,555
6036,BLUETREE DESIGN AND PRINT LIMITED,590.6,A+,273,"2,445","15,768","15,768"
6037,BLUESTONE RESORTS LIMITED,54.02,D,694,"9,124","41,292","41,307"
6038,ECD SUPERMARKET HOLDINGS LIMITED,77.7,B+,339,"1,425","2,874","8,501"
6039,FLUOR IRELAND LIMITED,14.29,D,2,-69,6,6
6040,DUFF MORGAN & VERMONT LIMITED,32.43,D,105,196,"3,380","3,380"
6041,HOULIHAN & CO (HOLDINGS) LIMITED,10.59,D,87,"2,130","2,798","2,818"
6042,ENVIRO TRAC LTD,13.84,B+,26,"1,775","3,045","3,045"
6043,MOMENTUM PENSIONS GROUP LIMITED,2.99,B+,60,"1,698",122,368
6044,PRAXAIR SURFACE TECHNOLOGIES LIMITED,10.09,D,283,"9,309","10,447","10,459"
6045,BERNARD KAVANAGH & SONS LIMITED,32.2,D,85,878,"6,870","7,663"
6046,JG FOODS LIMITED,101.49,D,499,777,"2,759","2,759"
6047,ALEXANDER MANN SOLUTIONS LIMITED,20.87,D,"1,246","24,268","4,037","6,339"
6048,THE FOUNDRY VISIONMONGERS LTD.,5.85,D,234,"14,991","1,268","7,661"
6049,BESTPLATE LIMITED,37.78,D,58,240,"3,431","3,431"
6050,SERTEC PRECISION COMPONENTS LIMITED,88.01,D,224,"1,144","3,186","3,119"
6051,INOX EQUIP LIMITED,666.41,D,8,-453,26,26
6052,LUMIRADX GROUP LIMITED,28.88,D,367,"-81,976","13,370","46,020"
6053,ACDOCO LIMITED,3.84,D,28,"1,904",414,414
6054,MICHELL INSTRUMENTS LIMITED,1.42,D,141,"4,554","1,720","1,745"
6055,GOLDCREST FILMS INTERNATIONAL LIMITED,74.66,D,5,-172,257,257
6056,DANONE LIMITED,50.43,D,110,"11,398","1,243","1,243"
6057,EUROCAPS LIMITED,52.47,D,217,"3,263","9,419","9,781"
6058,SANDBERG LLP,18.34,U,105,573,409,411
6059,BOXTRENT LIMITED,0.31,D,30,"1,559",155,155
6060,CORNTHWAITE AGRICULTURAL LIMITED,47.64,D,39,"1,367","5,175","5,186"
6061,LFF (SCOTLAND) LTD.,135.35,D,30,177,63,114
6062,QBS TECHNOLOGY GROUP LIMITED,419.87,D,59,227,31,"3,641"
6063,MANITOU UK LIMITED,299.76,D,44,"3,993","1,678","6,441"
6064,C.J. O'SHEA (PLANT HIRE) LIMITED,16.48,D,48,"4,679","15,346","15,346"
6065,HEAVEN HILL IRELAND LIMITED,173.56,D,4,"7,893",356,"120,887"
6066,ACTCELL LIMITED,33.93,D,34,310,341,"3,041"
6067,CARECO (UK) LIMITED,2.73,D,79,592,"1,100","1,107"
6068,DISTRIBUTION SUPPLIES LIMITED,0.8,D,44,258,269,269
6069,ESRA HOTELS LIMITED,232.66,D,223,854,"5,330","6,257"
6070,KURT J. LESKER COMPANY LIMITED,26.3,D,71,"1,208",533,581
6071,VISION PHARMACEUTICALS LTD,19.72,D,34,759,111,111
6072,DIAMOND POWER SPECIALTY LIMITED,6.02,D,103,-95,"4,464","4,786"
6073,LOWY ANGLO LIMITED,3.45,D,118,955,695,695
6074,TASIS UK LIMITED,3.28,D,223,-156,"3,239","3,239"
6075,WASTE RECYCLING GROUP (CENTRAL) LIMITED,11.9,D,110,"1,562","28,972","50,701"
6076,GLOBAL EXPERIENCE SPECIALISTS (GES) LIMITED,52.38,D,399,-145,"5,049","5,071"
6077,LIONWELD KENNEDY FLOORING LIMITED,345.89,D,185,"-5,896","2,834","8,456"
6078,LAKE REGION MEDICAL LIMITED,37.78,D,939,"17,102","18,498","23,929"
6079,MORLEYS DEPARTMENT STORES LIMITED,224.44,D,"1,008","3,622","6,312","8,961"
6080,DOLMANRIDGE LIMITED,148.97,D,88,551,"6,293","6,832"
6081,INTERKET HOLDINGS UK LIMITED,93.06,D,75,247,"2,146","2,146"
6082,H J LYONS (ARCHITECTS) LIMITED,1.65,A+,190,940,431,431
6083,BARCLAY DOUGALL (HOLDINGS) LIMITED,3.09,D,123,362,"1,772","1,772"
6084,I.J.K. TIMBER GROUP LIMITED,20.55,D,31,524,216,253
6085,COFRA G.B. LIMITED,21.81,D,20,-92,"1,184","1,204"
6086,SARANT LTD,11.26,D,52,"1,677","1,913","1,913"
6087,FOLIO HOLDINGS LIMITED,0.22,A+,43,-449,445,445
6088,PLANTFORCE RENTALS LTD,437.16,B+,131,"2,576","36,940","36,940"
6089,P2CG LIMITED,36.16,D,81,-598,68,744
6090,JPP LAND LIMITED,0.01,B+,1,597,1,10
6091,C.G. FRY AND SON LIMITED,56.9,B+,175,"8,290","1,138","10,748"
6092,LCT SUPPORT SERVICES LTD,749.11,D,47,153,30,30
6093,STARNA SCIENTIFIC LIMITED,2.8,D,96,"2,000",594,"2,662"
6094,OAKVILLE (SOUTH WALES) LIMITED,91.73,B+,150,832,"4,479","4,479"
6095,WOOLLEY GMC ENGINEERING COMPANY LIMITED,26.56,D,101,"1,280","1,110","4,312"
6096,TRIPTEASE LIMITED,12.39,B+,94,"-4,796",57,911
6097,SKYWORKS IRELAND LIMITED,19.75,D,15,"5,385",108,416
6098,IQVIA LTD.,141.4,D,"1,439","221,439","7,254","238,970"
6099,SUPREME CONCRETE LIMITED,4.27,D,239,"9,549","6,535","6,535"
6100,SPECTRA GROUP (UK) LIMITED,1.29,D,32,"2,792",547,742
6101,ROADFORM CIVIL ENGINEERING COMPANY LIMITED,8.48,D,196,"1,317","2,052","2,052"
6102,RIVERFORD ORGANIC FARMERS LIMITED,11.06,D,629,55,"8,179","10,528"
6103,MANGO HOTELS (GYPSY CORNER) LIMITED,946.29,D,67,96,"28,147","28,147"
6104,SUPERGLASS HOLDINGS LIMITED,127.13,D,172,564,"26,526","28,774"
6105,HOTEL CHOCOLAT RETAIL LTD,55.05,D,538,"9,080","13,873","15,581"
6106,CHEYNE CAPITAL MANAGEMENT (UK) LLP,236.46,D,125,"17,513",166,863
6107,PARTY DELIGHTS LIMITED,50.6,D,143,722,868,868
6108,THOMAS MILBURN (PROPERTY) LIMITED,8.17,D,54,774,"14,384","14,426"
6109,CHOICE PACKAGING SOLUTIONS LIMITED,10.7,D,24,"1,613",3,535
6110,PLANET ECLIPSE HOLDINGS LTD,4.29,B+,57,"-1,139",170,249
6111,QUALITEX SUPPLIES LIMITED,58.12,D,79,259,193,193
6112,KPSS (UK) LIMITED,412.74,D,100,605,8,8
6113,EMERY BROTHERS LIMITED,57.25,B+,113,-29,304,360
6114,ILECSYS LIMITED,2.17,D,44,601,854,854
6115,COMPUTACENTER PLC,38.24,A+,"15,117","108,128","106,267","304,048"
6116,UNITED FILLINGS LIMITED,19.45,D,158,302,881,881
6117,GREENTHUMB LIMITED,112.64,D,259,42,"1,498","3,280"
6118,RICHARD HOCHFELD MANAGEMENT LIMITED,226.45,D,64,"4,209","1,620","2,955"
6119,TRITECH PRECISION PRODUCTS LIMITED,222.49,D,352,-87,"6,483","7,425"
6120,EPONA BIOTECH LIMITED,21.3,D,13,-123,48,"1,676"
6121,KUMON EUROPE & AFRICA LIMITED,3.49,D,270,"4,500","1,284","1,284"
6122,VINDEX SYSTEMS LIMITED,48.27,B+,68,692,77,77
6123,BPW LIMITED,117.58,D,74,"-1,573","5,626","11,806"
6124,QUEST SOFTWARE INTERNATIONAL LIMITED,80.67,D,167,"30,923","20,078","53,579"
6125,VEITCH FAMILY HOLDINGS LIMITED,3.2,B+,93,"1,295",172,"2,345"
6126,R.E.A. TRADING PLC,16.74,B+,"3,419","12,126","19,538","24,252"
6127,MOUNT ANVIL GROUP LIMITED,5.79,D,230,"9,681","1,408","54,816"
6128,MRBP MOTORS UNLIMITED COMPANY,110.77,D,280,295,"25,931","25,931"
6129,VOLUMATIC HOLDINGS LIMITED,227.94,A+,34,-324,696,"1,523"
6130,NICHOLSONS SEALING TECHNOLOGIES LIMITED,145.03,D,136,"3,181","6,115","7,987"
6131,VIDEX SECURITY LIMITED,1.66,D,64,559,165,943
6132,"BRECKNELL, WILLIS & CO. LIMITED",255.74,D,237,"-4,102","12,371","15,512"
6133,BOOTH WELSH AUTOMATION LIMITED,0.46,D,162,393,421,421
6134,MACCORP UK LIMITED,561.65,D,15,-72,85,85
6135,CENTRAL SUPPLIES (BRIERLEY HILL) LTD,46.24,D,124,"1,028","3,003","3,326"
6136,TERCON LIMITED,17.16,B+,42,76,423,423
6137,HALTON FOODSERVICE LIMITED,13.26,D,95,989,748,748
6138,PREMIER NURSING HOMES LIMITED,47.11,D,341,-670,"8,815","8,815"
6139,REAL ESTATE MANAGEMENT (UK) LIMITED,0.44,D,48,"7,086",143,"2,199"
6140,FONTWELL PARK STEEPLECHASE LIMITED (THE),817.59,D,22,-197,"9,197","9,197"
6141,DISPLAYLINK (UK) LIMITED,8.69,D,188,"29,207","3,143","7,981"
6142,ZYTRONIC PLC,2.16,A+,195,"4,188","6,605","8,190"
6143,LORAM UK LTD,479.81,D,101,-648,787,787
6144,LOWER HATCH HOLDINGS LIMITED,6.11,B+,69,763,"3,214","3,323"
6145,HUSH HOMEWEAR LIMITED,0.37,D,67,"5,433",173,173
6146,FINGREEN HOLDINGS LIMITED,1.1,A+,55,65,"1,768","1,768"
6147,WILLIAMS JET TENDERS LIMITED,1.03,D,68,"2,249",708,708
6148,MHO PROPERTIES LIMITED,24.06,D,3,61,"4,222","4,222"
6149,IVOR SHAW LIMITED,146.76,D,265,248,"1,086","1,095"
6150,FOSS U.K. LIMITED,0.08,D,23,246,26,26
6151,DENVIR HOLDINGS LIMITED,22.99,D,776,"14,276","4,183","10,310"
6152,NETCALL SYSTEMS LIMITED,183.92,D,54,-231,26,"1,780"
6153,SEIKO U.K. LIMITED,28.03,D,301,"2,090","13,923","19,271"
6154,FLAIR FLOORING GROUP LIMITED,114.54,D,110,560,334,334
6155,INENCO GROUP LIMITED,0.17,D,374,"3,436",201,"11,786"
6156,M.B.E. GLAZING SYSTEMS LIMITED,1.62,D,80,773,441,441
6157,H.K. WENTWORTH LIMITED,45.72,D,237,"3,005","4,094","4,104"
6158,GRANITE ONE HUNDRED HOLDINGS LIMITED,199.98,D,208,450,"1,234","10,269"
6159,TIQ UK MIDCO LIMITED,141.97,D,167,"-11,712",162,"90,185"
6160,SRETAW 3 LIMITED,461.28,D,"1,402","16,874","138,849","220,660"
6161,LONG HARBOUR LTD,4.19,D,30,832,381,381
6162,TJ BOOKS LIMITED,565.43,D,140,384,"3,042","3,320"
6163,ABL CAPITAL INVESTMENTS LTD,89.98,B+,31,"5,992","1,622","3,113"
6164,WEBLOYALTY INTERNATIONAL LIMITED,102.01,D,15,"1,091",19,21
6165,INSPIRA TRADING LIMITED,54.76,D,6,368,58,59
6166,BOND RETAIL SERVICES LIMITED,84.35,D,182,"1,591","8,098","8,098"
6167,WURTH ELECTRONICS UK LIMITED,10.26,D,50,"1,793",82,82
6168,RIPMAX LIMITED,113.3,D,53,-636,"1,434","1,502"
6169,BARFOOTS OF BOTLEY LIMITED,1.9,D,415,"8,984","17,865","18,303"
6170,LDH (LA DORIA) LIMITED,26.36,D,71,"12,270","13,600","13,767"
6171,SECURITY PLUS LIMITED,214.18,D,847,857,"6,463","6,463"
6172,B.WALKER & CO.(DURSLEY)LIMITED,37.45,B+,13,491,106,"15,286"
6173,"STONEFIELD ESTATES, LIMITED",4.05,A+,6,"4,315",34,"48,876"
6174,ABINGDON FLOORING LIMITED,76.94,D,408,"1,692","6,163","6,163"
6175,BBC STUDIOS DISTRIBUTION LIMITED,95.87,D,"1,523","96,300","25,300","515,500"
6176,PHOENIX INTERNATIONAL PUBLICATIONS UK LTD.,37.89,D,5,-171,2,2
6177,S.P.L. FOODS LIMITED,292.46,B+,44,516,431,495
6178,FULL HOUSE BIDCO LIMITED,487.33,D,132,"-2,877",664,"38,452"
6179,SMYLE CREATIVE LIMITED,42.23,D,60,"2,320","1,868","2,044"
6180,ADAM BAILEY LIMITED,367.36,D,85,-345,"3,979","4,278"
6181,K K B PLANT SERVICES LIMITED,969.06,D,40,61,"15,737","15,737"
6182,A.R.G.C. LIMITED,1.48,D,62,"7,344",274,"1,331"
6183,HOGAN (HOLDINGS) LTD,51.16,A+,93,"1,169","2,855","6,508"
6184,PLAYFORDS LIMITED,0.3,D,93,165,63,63
6185,AMSAFE BRIDPORT LIMITED,31.51,D,193,"12,746","3,870","3,870"
6186,AKELIUS UK SEVEN LIMITED,569.76,D,3,152,56,"45,883"
6187,FARONICS (EMEA) LTD,64.7,D,13,199,9,9
6188,CAPITAL ARCHES GROUP LIMITED,388.71,D,"1,924","-1,522","11,142","17,317"
6189,ENVENT CAPITAL MARKETS LIMITED,19.78,D,5,-18,27,27
6190,HI-TECH STEEL SERVICES LIMITED,403.53,B+,35,171,"2,415","2,945"
6191,FREUD 3.0 LIMITED,34.92,D,257,"2,291","11,047","67,003"
6192,DAVID MACBRAYNE LIMITED,1.24,C,"1,710","4,239","1,015","3,400"
6193,THE CUMBRIA AND LANCASHIRE COMMUNITY REHABILITATION COMPANY LIMITED,595.62,D,244,"1,969",797,"9,681"
6194,GREENE TWEED & CO LIMITED,76.09,D,134,"2,455","6,034","6,034"
6195,R.B. HILTON LIMITED,32.26,D,475,"7,127",858,876
6196,J M SCULLY (HOLDINGS) LIMITED,0.82,D,62,558,"2,809","2,888"
6197,DYNAMIC CCTV MANAGEMENT LTD,0.19,B+,47,"4,317",103,881
6198,URBAN UNION LIMITED,728.56,D,16,331,102,102
6199,DMC DIGITAL LIMITED,48.37,D,39,135,222,395
6200,WB THE CREATIVE JEWELLERY GROUP LIMITED,28.42,D,127,577,"1,145","1,145"
6201,CENTAUR SERVICES LIMITED,157.62,D,289,"3,046","6,982","10,668"
6202,BFT AUTOMATION (SOUTH) LIMITED,60.82,D,18,341,85,87
6203,DUBLIN SOFTWARE PARK DESIGNATED ACTIVITY COMPANY,139.82,D,3,-679,"27,597","27,597"
6204,MILLENNIUM HOTELS (WEST LONDON) MANAGEMENT LIMITED,36.19,D,130,"-1,330","4,444","4,444"
6205,UNITECH SERVICES GROUP LIMITED,17.24,D,50,"1,291","2,016","2,016"
6206,WORKMAN PROPERTIES LIMITED,37.88,D,352,395,"9,566","11,851"
6207,ENERCON WIND FARM SERVICES IRELAND LIMITED,81.62,D,167,213,918,918
6208,ABBEYFIELD BASILDON SOCIETY LIMITED (THE),22.58,U,9,35,605,625
6209,ECO-BAT TECHNOLOGIES LIMITED,19.21,D,"3,170","9,278","380,445","425,965"
6210,SKILLSOFT U.K. LIMITED,28.87,C,99,460,60,"1,269"
6211,ROOKERY FOODS LIMITED,143.66,D,"1,195","2,002","7,225","8,734"
6212,TIMKEN UK LIMITED,10.9,D,129,-915,"1,509","11,792"
6213,BRITELITE WINDOWS LTD,47.22,D,92,261,"1,022","1,022"
6214,ANGLO INTERNATIONAL SHIPPING GROUP LIMITED,25.05,D,7,"2,605","74,317","74,317"
6215,HLMAD LIMITED,138.96,D,146,212,371,371
6216,DTR VMS LIMITED,35.7,D,275,"5,260","11,232","11,232"
6217,THE ARTHOUSE GLASGOW LIMITED,8.19,D,41,-251,"6,722","6,722"
6218,SUN GLOBAL INVESTMENTS LIMITED,0.96,D,16,248,46,173
6219,LEAR CORPORATION (UK) LIMITED,74.6,D,"1,581","41,556","20,761","34,569"
6220,G & H BUILDING SERVICES LTD.,16.04,D,97,994,"1,024","1,024"
6221,BOON EDAM LIMITED,173.04,C,120,"2,113",642,642
6222,THE COMPANY OF MASTER JEWELLERS LIMITED,0.42,A+,45,-379,345,345
6223,LLAMASOFT EUROPE HOLDINGS LIMITED,198.11,D,103,-671,185,"6,209"
6224,J.G. DISTILLERS LIMITED,259.89,D,35,386,"2,426","2,435"
6225,AYKROYD & SONS LIMITED,3.28,D,120,"1,112","2,679","3,517"
6226,ARMAC DEMOLITION LIMITED,20.21,B+,65,78,"3,004","3,330"
6227,INTY LIMITED,4.27,D,57,469,190,876
6228,OERLIKON NEOMET LIMITED,3.12,D,41,"1,383",289,294
6229,"KAMPONG KUANTAN RUBBER COMPANY,LIMITED(THE)",8.03,D,52,265,295,"1,471"
6230,GAYNOR SPORTS LIMITED,18.39,A-,53,611,157,"3,807"
6231,ARTHUR STEPHENSON(ENGINEERS)LIMITED,2.07,A+,58,161,"1,223","1,255"
6232,DOTDIGITAL EMEA LIMITED,4.9,D,222,"9,350",908,"7,486"
6233,THE UMBRELLA NEWCO (SHEAF) LTD,508.34,B+,63,729,189,"4,048"
6234,EMAP PUBLISHING LIMITED,0.75,D,229,"2,842",90,"19,591"
6235,DANIEL ROBINSON & SONS LIMITED,3.55,A+,115,"1,660","6,159","7,933"
6236,GLOBAL PORTS HOLDING PLC,437.64,D,646,"6,752","101,372","455,255"
6237,JOHN COTTON GROUP LIMITED,2.33,B+,"1,419","9,230","37,882","41,187"
6238,MACGREGOR INDUSTRIAL SUPPLIES LIMITED,40.68,D,285,578,"5,695","6,104"
6239,EXLSERVICE (UK) LIMITED,38.6,D,166,"4,038",649,"19,563"
6240,FASTHOSTS INTERNET LIMITED,68.13,D,155,"11,758","5,001","5,009"
6241,JACOBS & TURNER LIMITED,18.69,B+,"1,702","8,895","15,636","15,747"
6242,DORNAN ENGINEERING LIMITED,18.52,D,861,"11,784",679,711
6243,KEW HOUSE SCHOOL LIMITED,232.58,D,87,"2,542","11,138","11,138"
6244,STARCOM TECHNOLOGIES LIMITED,243.86,C,74,915,385,"2,701"
6245,GLOBAL OUTDOOR MEDIA LIMITED,45.89,D,411,"22,006","62,953","74,766"
6246,"GAFFNEY, CLINE & ASSOCIATES LIMITED",13.02,D,39,"3,605",2,2
6247,HOWCO GROUP PLC,8.53,D,449,"-2,493","14,171","28,207"
6248,STEVENAGE V.E. LIMITED,8.24,B+,13,201,58,58
6249,QUIXANT PLC,4.83,A+,203,"11,233","4,784","17,640"
6250,ADAM SMITH ADVISORY GROUP LIMITED,107.18,D,147,-156,277,"17,605"
6251,OPEN G I LIMITED,24.81,D,360,"27,056","1,518","12,869"
6252,APRIL SIX LIMITED,36.85,D,99,"1,023",323,947
6253,LINCOLNSHIRE ROAD CAR COMPANY LIMITED,28.26,D,"1,299","7,439","32,579","32,579"
6254,KEFCO SALES LIMITED,2.42,D,772,409,"5,185","8,809"
6255,GEAR4MUSIC (HOLDINGS) PLC,52.58,B+,313,"1,500","10,054","16,432"
6256,ROSEBUD MAXIMUS LIMITED,0,D,7,925,4,4
6257,PANDROL LIMITED,178.18,D,211,"6,898","4,864","6,264"
6258,SEAL IT SERVICES LIMITED,251.54,D,101,127,"4,394","6,671"
6259,BELTON FARM LIMITED,31.27,D,88,"1,852","5,430","5,430"
6260,REDPATH CONSTRUCTION LIMITED,25.58,B+,27,32,47,77
6261,LAGARDERE TRAVEL RETAIL (UK) LTD,256.15,D,280,779,"5,259","8,925"
6262,ROSKEL HOLDINGS 2017 LIMITED,852.47,B+,12,13,376,"4,652"
6263,PELI PRODUCTS (UK) LIMITED,22,D,71,708,"2,213","2,213"
6264,INTERNATIONAL HAIR COSMETICS LIMITED,85.28,A+,54,654,237,"1,144"
6265,ELEANOR LIVING SKILLS LTD,1.11,D,49,450,51,51
6266,BRIAN M. DURKAN & CO. LIMITED,42.97,D,24,"14,989",120,"1,112"
6267,SCION INSTRUMENTS (UK) LTD,688.17,D,21,668,736,736
6268,UTILYX LIMITED,65.83,D,4,"3,587",77,"1,399"
6269,Z.HINCHLIFFE & SONS LIMITED,3.5,D,140,239,"3,223","3,410"
6270,DELTECH EUROPE LIMITED,3.94,D,34,"2,329","4,468","4,468"
6271,JRNI LIMITED,85.88,B+,115,"-6,313",300,300
6272,ADVANCED INNERGY SOLUTIONS LTD,200.92,D,171,564,"3,960","10,130"
6273,KIER HIGHWAYS LIMITED,45.32,D,"2,017","34,675","4,390","17,327"
6274,THE CHILDCARE CORPORATION LIMITED,102.61,D,829,-716,"20,273","20,335"
6275,GRANADA MATERIAL HANDLING LIMITED,0.21,B+,125,346,404,447
6276,GYPCRAFT DRYLINING CONTRACTORS LIMITED,19.09,D,48,"2,906",500,500
6277,TRAVEL REPUBLIC LTD,286.39,D,352,"2,871","2,215","6,836"
6278,SPECIALITY STEEL UK LIMITED,135.53,D,"1,803","-25,030","146,786","146,797"
6279,HI-SPAN LIMITED,6.35,D,28,201,"2,005","2,005"
6280,PARK TOWER HOTEL LIMITED (THE),218.08,D,199,"9,950","2,449","2,449"
6281,FAMLACKEN LIMITED,81.25,B+,379,476,15,30
6282,NORFOLK HOMES LIMITED,70.81,D,58,"3,667",971,971
6283,ACCORD HEALTHCARE IRELAND LIMITED,24.1,D,26,"2,482",4,4
6284,POLYBLEND UK LIMITED,4.26,B+,30,"2,215",808,808
6285,SOLLATEK (UK) LIMITED,n.a.,D,n.a.,n.a.,n.a.,n.a.
6286,MANCHETTS HOLDINGS LIMITED,157.41,A+,116,428,"2,194","2,196"
6287,WIRELESS NETWORK DEVELOPMENTS (UK) LIMITED,26.55,B+,11,"-2,020","5,706","7,306"
6288,AALBERTS SURFACE TECHNOLOGIES LIMITED,7.84,D,78,646,"3,767","3,767"
6289,PICTURE HOLDCO LIMITED,142.67,D,290,"-11,264","355,387","437,865"
6290,STOELZLE FLACONNAGE LIMITED,251.44,D,363,"-3,428","20,644","20,644"
6291,W.E. DEANE HOLDINGS LTD,86.68,B+,105,-325,300,486
6292,TOTAL WASTE MANAGEMENT LIMITED,11.31,D,46,"1,471","1,203","1,203"
6293,KNIGHTWOOD TRUST FARMS LIMITED,52.9,D,2,956,"17,195","27,823"
6294,GRAPHIC BRANDS LIMITED,12.44,D,44,646,998,998
6295,ADL PLC,48.55,A+,642,"2,651","24,315","26,051"
6296,ST. PETER'S HOSPITAL LIMITED,223.47,D,132,553,"6,663","6,663"
6297,BRODERICK GROUP LIMITED,14.52,B+,137,714,"1,721","1,721"
6298,YARBOROUGH LIMITED,7.84,D,121,388,923,945
6299,H+H UK LIMITED,34.08,D,255,"12,187","24,340","24,797"
6300,DYNAMIC SAMPLING UK LIMITED,7.13,D,44,,"1,433","1,433"
6301,CHERRINGHAM LTD,15.97,D,237,"4,399","24,642","26,296"
6302,THYSSENKRUPP SYSTEM ENGINEERING LIMITED,47.75,D,73,590,14,45
6303,PSS (HOLDINGS) LTD,212.46,D,"1,947",207,553,"4,006"
6304,JOULES LIMITED,54.91,D,"1,765","11,322","17,188","44,456"
6305,SPECTRUM PAYMENT SERVICES LIMITED,133.06,C,84,-86,39,931
6306,NATIONWIDE PRODUCE PLC,38.34,D,97,"1,415","4,943","4,985"
6307,BEN NEVIS DISTILLERY (FORT WILLIAM) LIMITED,58.72,D,26,317,"2,534","2,534"
6308,SARKATE SECURITIES LIMITED,43.39,B+,344,"1,436","1,414","1,667"
6309,BESANA UK LIMITED,491.22,D,469,"5,154","25,661","25,919"
6310,SCHNEIDER ELECTRIC SYSTEMS UK LIMITED,368.21,D,196,"8,204","2,359","28,616"
6311,M B DISTRIBUTION (CLEVELAND) LIMITED,0.61,B+,65,"1,083","1,725","1,862"
6312,WISE MUSIC GROUP LIMITED,55.13,D,213,"13,097","17,997","57,623"
6313,MARTINS CRAFT BAKERY LIMITED,3.78,D,322,"1,012","4,686","4,945"
6314,SEAN LOUGHNANE (GALWAY) LIMITED,124.96,D,225,"1,524","10,270","12,584"
6315,ROBERT WALTERS HOLDINGS LIMITED,62.4,D,37,"15,410",20,"33,356"
6316,CORNEY AND BARROW LIMITED,71.45,D,153,"2,110","8,823","11,138"
6317,GLIDE BUSINESS LIMITED,n.a.,D,n.a.,n.a.,n.a.,n.a.
6318,CRAMINGTON AVIATION LIMITED,936.38,D,1,"6,989","133,038","133,038"
6319,GW PHARMACEUTICALS LIMITED,3.77,D,683,"-336,349","89,430","107,186"
