,Company name,"Gearing (%)
2018",BvD Independence Indicator,"Number of employees
2018","Profit (Loss) before Taxation
th GBP 2018","Tangible Assets
th GBP 2018","Fixed Assets
th GBP 2018"
132,ISMANATE INVESTMENTS LIMITED,0.23,D,1,46,"2,032","2,032"
133,NAAS OIL CO. LIMITED,30.4,B+,134,"1,167","3,316","3,588"
134,GP ACOUSTICS (UK) LIMITED,66.9,D,163,"1,218","1,575","1,575"
135,MILLWARD BROWN IRELAND LIMITED,282.01,D,172,-116,144,"2,150"
136,TEMPLETON HOLDINGS LIMITED,45.04,D,964,4,"13,326","14,132"
137,THWAITES LIMITED,2.22,B+,242,"11,953","3,625","3,625"
138,PITACS LIMITED,113.13,D,63,31,262,275
139,CLOVERBROOK HOLDINGS LTD,69.6,D,344,672,"4,298","4,353"
140,PRITCHMOR HOLDINGS LIMITED,45.88,B+,64,17,"1,741","4,125"
141,SHARPAK BRIDGWATER LIMITED,367.6,D,234,"-2,779","14,920","20,350"
142,STARCO GB LIMITED,53.63,D,26,"1,136","2,071","2,071"
143,R.H.CLAYDON LIMITED,100.38,D,89,299,"5,241","5,241"
144,NIKE LAND SECURITIES LIMITED,173.37,B+,585,"2,344","23,323","27,194"
145,DFDS LOGISTICS SERVICES LIMITED,51.11,D,488,875,702,752
146,REIDS OF NORWICH LIMITED,114.68,D,17,457,483,"1,013"
147,TEKMAR ENERGY LIMITED,8.46,D,102,"3,970","1,371","2,014"
148,PROTOCOL NATIONAL LIMITED,307.65,D,71,"-5,465",77,867
149,TRABOLGAN HOLIDAY CENTRE LIMITED,121.88,C,112,-61,"11,839","11,839"
150,DAMON'S (HOLDINGS) LIMITED,52.6,D,253,46,"5,416","5,416"
151,FLINTEC UK LIMITED,101.72,D,28,314,472,509
152,L & K GROUP PLC,104.87,A+,77,430,"5,206","12,088"
153,WYCKE H LIMITED,56.81,D,165,"2,803","4,543","4,543"
154,MORGAN FUELS IRELAND LIMITED,546.66,D,71,224,"3,336","6,243"
155,BPD GLOBAL GROUP LIMITED,19.43,D,66,451,448,"2,146"
156,EVRON FOODS LIMITED,125.16,D,394,491,"10,708","10,708"
157,MARWOOD GROUP LIMITED,0.66,D,209,"5,331","3,685","3,685"
158,DECORATIVE PANELS LAMINATION LIMITED,63.39,D,52,"1,923",580,580
159,P. D. HOOK (GROUP) LIMITED,44.39,D,942,"20,117","102,367","114,451"
160,PAUL PONSONBY LIMITED,15.31,D,43,815,438,438
161,JUPITER PRESTIGE GROUP EUROPE LIMITED,73.24,D,102,-82,177,177
162,MCORM LIMITED,61.89,D,38,"2,366",64,64
163,BURCOT HOLDINGS LIMITED,463.82,D,89,-482,"18,339","19,381"
164,COHEN & WILKS INTERNATIONAL LIMITED,207.79,D,96,552,"1,366","1,387"
165,CHEM-DRY FRANCHISING LIMITED,7.84,D,4,145,6,6
166,ALEX F NOBLE & SON LTD.,10.55,B+,51,-94,532,532
167,REYNOLDS 2000 LIMITED,4,D,48,856,717,"2,304"
168,ADENSTAR LIMITED,117.16,D,50,673,"3,498","3,662"
169,BRISTOW SOUTHEAST ASIA LIMITED,749.79,D,2,"-17,564",21,"23,861"
170,CERATIZIT UK & IRELAND LIMITED,190.32,D,62,"2,406",861,861
171,SHINY SKY LIMITED,281.14,B+,104,"1,045","3,429","4,039"
172,WALKER MOTORS LIMITED,0.19,A+,45,463,112,502
173,COCHLEAR EUROPE LIMITED,25.3,D,139,"6,695",687,"16,643"
174,THE ORIGINAL HOLDING COMPANY LIMITED,180.27,D,382,884,"2,746","20,428"
175,SERVLITE U.K. LIMITED,158.91,D,76,249,379,379
176,SOTHEBY'S,34.56,D,547,"25,946","36,903","119,759"
177,PARTRIDGE OF HAMPSHIRE LIMITED,652.2,D,141,378,"8,082","8,082"
178,DAYLA HOLDINGS LIMITED,3.34,D,93,"1,774","1,277","1,270"
179,LARGE DIAMETER DRILLING LIMITED,8.62,D,43,-160,"5,158","5,428"
180,LITTLECOMBE PARK LIMITED,114.03,D,76,177,"10,243","10,243"
181,ADVENT TOPCO LIMITED,909.65,U,339,"-3,935",796,"68,746"
182,CEDO HOLDINGS LIMITED,38.62,B+,"2,068","21,341","42,294","42,294"
183,BORGWARNER TECHNOLOGIES LIMITED,156.65,D,"2,394","9,742","109,131","115,984"
184,DATAMINE INTERNATIONAL LIMITED,51.23,D,22,481,22,"6,578"
185,ENSCO 1067 LIMITED,31.04,D,89,506,600,"2,976"
186,PARAGON CUSTOMER COMMUNICATIONS INTERNATIONAL LIMITED,7.85,D,"1,515",445,"8,814","36,936"
187,WESTMINSTER WASTE LIMITED,201.47,D,43,776,"5,770","5,770"
188,BELRUN LIMITED,0.06,D,15,"1,734",366,366
189,THE SAVILLE GROUP LIMITED,62.47,D,241,"1,299","1,792","1,792"
190,ABS WHOLESALE LIMITED,148.83,D,126,8,388,634
191,AV POUND & CO LIMITED,47.28,D,26,599,"1,707","3,535"
192,S.P. APPARELS (UK) (P) LIMITED,123.15,D,3,135,6,6
193,MSI GROUP LIMITED,101.62,D,129,245,213,213
194,CDS (SUPERSTORES INTERNATIONAL) LIMITED,93.87,D,"9,524","53,516","156,803","156,803"
195,BLUELEAF LIMITED,n.a.,D,n.a.,n.a.,n.a.,n.a.
196,MOORE CONCRETE PRODUCTS LIMITED,76.04,B+,119,821,"5,019","5,076"
197,COVENTRY DISTRICT ENERGY COMPANY LIMITED,762.32,D,2,365,"7,087","7,087"
198,"CAPSTONE INVESTMENT ADVISORS (UK), LLP",16.23,U,27,"2,176",757,757
199,VALCROFT UNLIMITED COMPANY,28.76,B+,119,"1,566","4,080","4,929"
200,PENLAW & COMPANY LIMITED,345.47,D,78,"1,852","2,249","3,786"
201,NAISH ESTATE (HOBURNE) LIMITED,236.87,D,127,"2,579","16,604","16,604"
